interface pair,RWR
11d4b317ca534ddd89c9215bcd4d6f65 <-> 277b17d17a564df89d2f077c136f1406,0
c413a6b096364bd788043f63e4073050 <-> 006ac0d4793b476b8c1ce3f8b72d554c,0
696aedaa6dfa47fda2516d7f5e3c1981 <-> f82b459e584a4584aa330fa5bd4902db,0
3b8f6650c1f54abdae458b6c8776868e <-> a10537c233d84a3aa13d699319f2cea6,0
237729ff0c2f4804bf5b19c1656a4f97 <-> d664991e2c21419ab7276d21288f89a5,0
81af7423dc9d430c8a54a53bffabe131 <-> 7c4e7155c641482f8aab21740db1a548,0
eb96c681c07f4d30b821ebfab0d23463 <-> 33463d0fc96d49b2b18d969fb9bc5d6f,0
4b80d2e5b23f4222a908e1066acca1fb <-> 19921ad8c3bb4bd685201a1ac9edd024,0
7d9e56b153d94fd9a2df62239f0230fa <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
81af7423dc9d430c8a54a53bffabe131 <-> 973c0dcae701415285685f3abc269bbf,0
4647a10cd73c493589650b22b5188871 <-> 7c4e7155c641482f8aab21740db1a548,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> b3ee91b741f24a3d9855093dde84d537,0
440d455576a246eb84e949f9be101d5f <-> 006ac0d4793b476b8c1ce3f8b72d554c,0
90e635fcffe945e795f3a5a9f01855ae <-> f6e0ab6d3bc24e0cacdbb2d8d5e0cbdc,0
4c35c5ec61874e78b9a4abdfe9fc425f <-> 00e4e433de564942a5aef7df8a51881d,0
728b87a253cf48fc814ade7f80fef80a <-> 7ad38d344fe943e1ad4e050f7ebe6aba,0
a1417e55b78e4220b517aac040367944 <-> b579d879dc5841409c65a7f21b63de50,0
00e4e433de564942a5aef7df8a51881d <-> 672118b7badd47809d25d3aeebf40eba,0
0be75c7a91b54528ba5a78348307335c <-> b984c29d8737405e93939cc5017fdf1c,0
1b3484fa780b4d86a5432d3c3315f3ad <-> b984c29d8737405e93939cc5017fdf1c,0
7d9e56b153d94fd9a2df62239f0230fa <-> 33463d0fc96d49b2b18d969fb9bc5d6f,0
ccce1cba587c461a8f6468130245c97a <-> fb9b65a6e8b74cdf9bd5d0fd2a25fe63,0
1ae32e5560a64e478388735180c0dd5b <-> 5466b661923b45f5959f197eff2e169e,0
cb3b315d677346f2b5c9f541d6bca2fb <-> 5d9ff1c377e44135831ec397d9785c9e,0
81497c462c694814aa6201a1484ace05 <-> 610a8fa56cd04b1dbd29696b66a09465,0
c413a6b096364bd788043f63e4073050 <-> 3ebc28f400654498b0f606c93f432ace,0
355e880fc4364e0098c72b5a871623ec <-> af6a611a82524d85aaa1e3c67a3835df,0
63173b798f954d7a8f1c8d94d392bf7a <-> b984c29d8737405e93939cc5017fdf1c,0
67616f09e4154630ba5d58d798523f3c <-> 0270aaedf6c94d42b6b0985c5b4c2833,0
5927eeaf8e9c4083ad79a36416e970bc <-> 13575a71a6b4404896c366392e698da4,0
348a106a6a9948f8bdec72e12242d276 <-> 762f45cd8def4e79af01e0f61bec14c9,0
